image;roepnaam;Personalia;birthdate;birthplace;Woonplaats;Anciënniteit;Leeftijd;Geslacht;Emailadres;Fractie;Volledige naam;commissies;commissie0;commissie1;commissie2;commissie3;commissie4;commissie5;commissie6;commissie7;commissie8;commissie9;commissie10;commissie11;commissie12;commissie13;commissie14;commissie15;commissie16;commissie17;commissie18;
/images/7928_tcm118-114565.jpg;Fleur Agema;;16 september 1976;Purmerend;Den Haag;1429 dagen;34;Vrouw;;Partij voor de vrijheid  (PVV);Agema, M.;Volkshuisvesting, Ruimtelijke Ordening en Milieubeheer;Verkeer en Waterstaat;Volksgezondheid, Welzijn en Sport;Bouwbegeleidingscommissie;Presidium;
/images/6367_tcm118-206726.jpg;Nebahat Albayrak;;10 april 1968;Sarkisla (Turkije);Rotterdam;3372 dagen;42;Vrouw;N.Albayrak@tweedekamer.nl;Partij van de Arbeid  (PVDA);Albayrak, N.;Europese Zaken;Economische Zaken;Justitie;Landbouw, Natuur en Voedselkwaliteit;
/images/7773_tcm118-114567.jpg;Charlie Aptroot;;20 september 1950;Den Haag;Wassenaar;2829 dagen;60;Man;C.Aptroot@tweedekamer.nl;Volkspartij voor Vrijheid en Democratie  (VVD);Aptroot, Ch.B.;Economische Zaken;Sociale Zaken en Werkgelegenheid;Volkshuisvesting, Ruimtelijke Ordening en Milieubeheer;Verkeer en Waterstaat;Bouwbegeleidingscommissie;
/images/6369_tcm118-120184.jpg;Khadija Arib;;10 oktober 1960;Hedami (Marokko);Amsterdam;4455 dagen;50;Vrouw;k.arib@tweedekamer.nl;Partij van de Arbeid  (PVDA);Arib, K.;Wonen, Wijken en Integratie;Buitenlandse Zaken;Defensie;Volksgezondheid, Welzijn en Sport;Jeugd en Gezin;Delegatie naar de Euro-Mediterrane Parlementaire Assemblee;Presidium;
/images/8050_tcm118-209077.jpg;Malik Azmani;;20 januari 1976;Heerenveen;Stegeren;134 dagen;34;Man;m.azmani@tweedekamer.nl;Volkspartij voor Vrijheid en Democratie  (VVD);Azmani, M.;Financiën;Justitie;Nederlands-Antilliaanse en Arubaanse Zaken;Sociale Zaken en Werkgelegenheid;Jeugd en Gezin;
/images/7987_tcm118-146768.jpg;Farshad Bashir;;14 januari 1988;Kabul Afganistan;Zoetermeer;1018 dagen;22;Man;f.bashir@tweedekamer.nl;Socialistische Partij  (SP);Bashir, F.;Wonen, Wijken en Integratie;Financiën;Landbouw, Natuur en Voedselkwaliteit;Nederlands-Antilliaanse en Arubaanse Zaken;Rijksuitgaven;Volkshuisvesting, Ruimtelijke Ordening en Milieubeheer;Verkeer en Waterstaat;
/images/6356_tcm118-114572.jpg;Willibrord van Beek;;15 januari 1949;Amsterdam;Maarheeze;4546 dagen;61;Man;W.vanBeek@tweedekamer.nl;Volkspartij voor Vrijheid en Democratie  (VVD);Beek, W.I.I. van;Buitenlandse Zaken;Binnenlandse Zaken en Koninkrijksrelaties;Defensie;Rijksuitgaven;
/images/8098_tcm118-209078.jpg;Harm Beertema;;9 maart 1952;Zaandam;Ouderkerk aan den Ijssel;134 dagen;58;Man;h.beertema@tweedekamer.nl;Partij voor de vrijheid  (PVV);Beertema, H.J.;Financiën;Onderwijs, Cultuur en Wetenschap;Rijksuitgaven;Volksgezondheid, Welzijn en Sport;Jeugd en Gezin;
/images/8108_tcm118-209193.jpg;Jhim van Bemmel;;15 november 1959;Boskoop;Zoetermeer;134 dagen;50;Man;j.vbemmel@tweedekamer.nl;Partij voor de vrijheid  (PVV);Bemmel, J.J.G. van;Economische Zaken;Financiën;Landbouw, Natuur en Voedselkwaliteit;Rijksuitgaven;Volkshuisvesting, Ruimtelijke Ordening en Milieubeheer;Contactgroep Frankrijk;Strategisch Overleg Informatievoorziening;
/images/8070_tcm118-209079.jpg;Magda Berndsen;;4 mei 1950;Leiden;Burdaard;134 dagen;60;Vrouw;m.berndsen@tweedekamer.nl;Democraten 66  (D66);Berndsen, M.A.;Binnenlandse Zaken en Koninkrijksrelaties;Defensie;Justitie;Jeugd en Gezin;Presidium;Commissie voor de Werkwijze;
/images/5808_tcm118-209080.jpg;Ank Bijleveld-Schouten;;17 maart 1962;Ijsselmuiden;Goor;4214 dagen;48;Vrouw;a.bijleveld-schouten@tweedekamer.nl;Christen Democratisch Appel  (CDA);Bijleveld-Schouten, A.T.B.;Vergaderingen;Plenaire vergaderingen;Commissievergaderingen;Live debatten;
/images/7904_tcm118-114574.jpg;Jack Biskop;;15 januari 1956;Roosendaal;Roosendaal;1298 dagen;54;Man;j.biskop@tweedekamer.nl;Christen Democratisch Appel  (CDA);Biskop, J.J.G.M.;Delegatie naar de Raadgevende Interparlementaire Beneluxraad;
